file,text
circle_000.png,Cerchio viola su sfondo marrone
circle_001.png,Cerchio arancione su sfondo viola
circle_002.png,Cerchio viola su sfondo rosa
circle_003.png,Cerchio rosso su sfondo arancione
circle_004.png,Cerchio grigio su sfondo verde
circle_005.png,Cerchio grigio su sfondo arancione
circle_006.png,Cerchio rosso su sfondo blu
circle_007.png,Cerchio bianco su sfondo viola
circle_008.png,Cerchio nero su sfondo rosa
circle_009.png,Cerchio bianco su sfondo rosso
circle_010.png,Cerchio rosso su sfondo marrone
circle_011.png,Cerchio bianco su sfondo arancione
circle_012.png,Cerchio blu su sfondo viola
circle_013.png,Cerchio verde su sfondo giallo
circle_014.png,Cerchio marrone su sfondo rosso
circle_015.png,Cerchio rosa su sfondo arancione
circle_016.png,Cerchio azzurro su sfondo viola
circle_017.png,Cerchio marrone su sfondo verde
circle_018.png,Cerchio azzurro su sfondo arancione
circle_019.png,Cerchio nero su sfondo marrone
circle_020.png,Cerchio viola su sfondo blu
circle_021.png,Cerchio arancione su sfondo nero
circle_022.png,Cerchio arancione su sfondo blu
circle_023.png,Cerchio marrone su sfondo arancione
circle_024.png,Cerchio rosa su sfondo viola
circle_025.png,Cerchio azzurro su sfondo marrone
circle_026.png,Cerchio arancione su sfondo viola
circle_027.png,Cerchio blu su sfondo azzurro
circle_028.png,Cerchio arancione su sfondo viola
circle_029.png,Cerchio rosa su sfondo bianco
circle_030.png,Cerchio nero su sfondo blu
circle_031.png,Cerchio bianco su sfondo arancione
circle_032.png,Cerchio grigio su sfondo giallo
circle_033.png,Cerchio bianco su sfondo marrone
circle_034.png,Cerchio rosa su sfondo verde
circle_035.png,Cerchio rosso su sfondo viola
circle_036.png,Cerchio giallo su sfondo marrone
circle_037.png,Cerchio marrone su sfondo blu
circle_038.png,Cerchio viola su sfondo marrone
circle_039.png,Cerchio rosa su sfondo bianco
circle_040.png,Cerchio arancione su sfondo bianco
circle_041.png,Cerchio verde su sfondo blu
circle_042.png,Cerchio azzurro su sfondo grigio
circle_043.png,Cerchio bianco su sfondo rosa
circle_044.png,Cerchio marrone su sfondo blu
circle_045.png,Cerchio bianco su sfondo blu
circle_046.png,Cerchio giallo su sfondo blu
circle_047.png,Cerchio rosa su sfondo rosso
circle_048.png,Cerchio giallo su sfondo grigio
circle_049.png,Cerchio nero su sfondo blu
circle_050.png,Cerchio rosa su sfondo arancione
circle_051.png,Cerchio nero su sfondo blu
circle_052.png,Cerchio marrone su sfondo verde
circle_053.png,Cerchio arancione su sfondo grigio
circle_054.png,Cerchio rosa su sfondo blu
circle_055.png,Cerchio verde su sfondo blu
circle_056.png,Cerchio rosso su sfondo grigio
circle_057.png,Cerchio nero su sfondo rosa
circle_058.png,Cerchio verde su sfondo nero
circle_059.png,Cerchio verde su sfondo bianco
circle_060.png,Cerchio nero su sfondo marrone
circle_061.png,Cerchio verde su sfondo rosso
circle_062.png,Cerchio rosa su sfondo bianco
circle_063.png,Cerchio grigio su sfondo blu
circle_064.png,Cerchio verde su sfondo rosso
circle_065.png,Cerchio nero su sfondo bianco
circle_066.png,Cerchio nero su sfondo azzurro
circle_067.png,Cerchio azzurro su sfondo verde
circle_068.png,Cerchio arancione su sfondo nero
circle_069.png,Cerchio nero su sfondo bianco
circle_070.png,Cerchio rosa su sfondo azzurro
circle_071.png,Cerchio rosa su sfondo marrone
circle_072.png,Cerchio giallo su sfondo bianco
circle_073.png,Cerchio verde su sfondo giallo
circle_074.png,Cerchio blu su sfondo rosa
circle_075.png,Cerchio nero su sfondo bianco
circle_076.png,Cerchio blu su sfondo marrone
circle_077.png,Cerchio azzurro su sfondo giallo
circle_078.png,Cerchio giallo su sfondo rosa
circle_079.png,Cerchio rosa su sfondo giallo
circle_080.png,Cerchio grigio su sfondo giallo
circle_081.png,Cerchio grigio su sfondo rosa
circle_082.png,Cerchio blu su sfondo grigio
circle_083.png,Cerchio blu su sfondo azzurro
circle_084.png,Cerchio blu su sfondo marrone
circle_085.png,Cerchio marrone su sfondo giallo
circle_086.png,Cerchio verde su sfondo rosa
circle_087.png,Cerchio rosso su sfondo azzurro
circle_088.png,Cerchio blu su sfondo bianco
circle_089.png,Cerchio arancione su sfondo verde
circle_090.png,Cerchio grigio su sfondo nero
circle_091.png,Cerchio viola su sfondo nero
circle_092.png,Cerchio giallo su sfondo rosso
circle_093.png,Cerchio azzurro su sfondo rosa
circle_094.png,Cerchio viola su sfondo arancione
circle_095.png,Cerchio arancione su sfondo grigio
circle_096.png,Cerchio verde su sfondo bianco
circle_097.png,Cerchio rosso su sfondo marrone
circle_098.png,Cerchio arancione su sfondo nero
circle_099.png,Cerchio blu su sfondo azzurro
circle_100.png,Cerchio nero su sfondo blu
circle_101.png,Cerchio grigio su sfondo rosso
circle_102.png,Cerchio marrone su sfondo bianco
circle_103.png,Cerchio giallo su sfondo viola
circle_104.png,Cerchio grigio su sfondo verde
circle_105.png,Cerchio blu su sfondo giallo
circle_106.png,Cerchio azzurro su sfondo rosa
circle_107.png,Cerchio blu su sfondo rosa
circle_108.png,Cerchio giallo su sfondo grigio
circle_109.png,Cerchio nero su sfondo verde
circle_110.png,Cerchio verde su sfondo viola
circle_111.png,Cerchio blu su sfondo marrone
circle_112.png,Cerchio verde su sfondo azzurro
circle_113.png,Cerchio nero su sfondo bianco
circle_114.png,Cerchio viola su sfondo rosa
circle_115.png,Cerchio marrone su sfondo blu
circle_116.png,Cerchio verde su sfondo viola
circle_117.png,Cerchio giallo su sfondo azzurro
circle_118.png,Cerchio verde su sfondo viola
circle_119.png,Cerchio marrone su sfondo grigio
circle_120.png,Cerchio arancione su sfondo bianco
circle_121.png,Cerchio blu su sfondo nero
circle_122.png,Cerchio giallo su sfondo rosso
circle_123.png,Cerchio rosso su sfondo bianco
circle_124.png,Cerchio blu su sfondo bianco
circle_125.png,Cerchio giallo su sfondo blu
circle_126.png,Cerchio giallo su sfondo rosso
circle_127.png,Cerchio viola su sfondo bianco
circle_128.png,Cerchio bianco su sfondo azzurro
circle_129.png,Cerchio grigio su sfondo giallo
circle_130.png,Cerchio giallo su sfondo nero
circle_131.png,Cerchio verde su sfondo viola
circle_132.png,Cerchio bianco su sfondo nero
circle_133.png,Cerchio arancione su sfondo grigio
circle_134.png,Cerchio grigio su sfondo nero
circle_135.png,Cerchio rosa su sfondo azzurro
circle_136.png,Cerchio azzurro su sfondo giallo
circle_137.png,Cerchio rosa su sfondo rosso
circle_138.png,Cerchio blu su sfondo bianco
circle_139.png,Cerchio blu su sfondo viola
circle_140.png,Cerchio nero su sfondo verde
circle_141.png,Cerchio rosa su sfondo arancione
circle_142.png,Cerchio nero su sfondo rosso
circle_143.png,Cerchio rosa su sfondo marrone
circle_144.png,Cerchio viola su sfondo blu
circle_145.png,Cerchio bianco su sfondo rosso
circle_146.png,Cerchio viola su sfondo nero
circle_147.png,Cerchio azzurro su sfondo rosso
circle_148.png,Cerchio giallo su sfondo nero
circle_149.png,Cerchio verde su sfondo arancione
circle_150.png,Cerchio giallo su sfondo rosso
circle_151.png,Cerchio azzurro su sfondo rosso
circle_152.png,Cerchio viola su sfondo grigio
circle_153.png,Cerchio verde su sfondo marrone
circle_154.png,Cerchio marrone su sfondo viola
circle_155.png,Cerchio rosso su sfondo arancione
circle_156.png,Cerchio marrone su sfondo arancione
circle_157.png,Cerchio marrone su sfondo viola
circle_158.png,Cerchio viola su sfondo verde
circle_159.png,Cerchio rosa su sfondo bianco
circle_160.png,Cerchio azzurro su sfondo rosso
circle_161.png,Cerchio blu su sfondo viola
circle_162.png,Cerchio nero su sfondo grigio
circle_163.png,Cerchio bianco su sfondo nero
circle_164.png,Cerchio azzurro su sfondo arancione
circle_165.png,Cerchio bianco su sfondo giallo
circle_166.png,Cerchio azzurro su sfondo rosso
circle_167.png,Cerchio bianco su sfondo blu
circle_168.png,Cerchio blu su sfondo azzurro
circle_169.png,Cerchio rosa su sfondo grigio
circle_170.png,Cerchio marrone su sfondo arancione
circle_171.png,Cerchio marrone su sfondo viola
circle_172.png,Cerchio nero su sfondo viola
circle_173.png,Cerchio rosa su sfondo viola
circle_174.png,Cerchio blu su sfondo nero
circle_175.png,Cerchio rosa su sfondo rosso
circle_176.png,Cerchio bianco su sfondo blu
circle_177.png,Cerchio nero su sfondo rosso
circle_178.png,Cerchio blu su sfondo verde
circle_179.png,Cerchio giallo su sfondo rosso
circle_180.png,Cerchio verde su sfondo grigio
circle_181.png,Cerchio bianco su sfondo blu
circle_182.png,Cerchio verde su sfondo blu
circle_183.png,Cerchio marrone su sfondo blu
circle_184.png,Cerchio grigio su sfondo bianco
circle_185.png,Cerchio giallo su sfondo azzurro
circle_186.png,Cerchio arancione su sfondo nero
circle_187.png,Cerchio rosso su sfondo rosa
circle_188.png,Cerchio rosa su sfondo blu
circle_189.png,Cerchio azzurro su sfondo marrone
circle_190.png,Cerchio viola su sfondo blu
circle_191.png,Cerchio grigio su sfondo marrone
circle_192.png,Cerchio rosso su sfondo rosa
circle_193.png,Cerchio nero su sfondo giallo
circle_194.png,Cerchio giallo su sfondo bianco
circle_195.png,Cerchio viola su sfondo blu
circle_196.png,Cerchio blu su sfondo nero
circle_197.png,Cerchio nero su sfondo arancione
circle_198.png,Cerchio arancione su sfondo nero
circle_199.png,Cerchio azzurro su sfondo arancione
